,Latitude,Longitude,Weight,Month,,
2572,54.3,190.1,0,April,,
2573,54.3,191.1,0,April,,
2574,54.3,192.1,62.31,April,,
2575,54.3,193.1,0,April,,
2576,54.3,194.1,0,April,,
2577,54.3,195.1,350.6,April,,
2578,54.3,196.1,0,April,,
2579,54.3,197.1,0,April,,
2580,54.3,198.1,0,April,,
2581,54.3,199.1,0,April,,
2582,54.3,200.1,0,April,,
2583,54.3,201.1,0,April,,
2584,55.3,181.1,0,April,,
2585,55.3,182.1,0,April,,
2586,55.3,183.1,0,April,,
2587,55.3,184.1,0,April,,
2588,55.3,185.1,0,April,,
2589,55.3,186.1,0,April,,
2590,55.3,187.1,0,April,,
2591,55.3,188.1,0,April,,
2592,55.3,189.1,0,April,,
2593,55.3,190.1,0,April,,
2594,55.3,191.1,0,April,,
2595,55.3,192.1,0,April,,
2596,55.3,193.1,0,April,,
2597,55.3,194.1,15.72,April,,
2598,55.3,195.1,0,April,,
2599,55.3,196.1,607.99,April,,
2600,55.3,197.1,0,April,,
2601,55.3,198.1,0,April,,
2602,55.3,199.1,0,April,,
2603,55.3,200.1,0,April,,
2604,55.3,201.1,0,April,,
2605,56.3,181.1,0,April,,
2606,56.3,182.1,0,April,,
2607,56.3,183.1,0,April,,
2608,56.3,184.1,0,April,,
2609,56.3,185.1,0,April,,
2610,56.3,186.1,0,April,,
2611,56.3,187.1,0,April,,
2612,56.3,188.1,0,April,,
2613,56.3,189.1,14.47,April,,
2614,56.3,190.1,0,April,,
2615,56.3,191.1,148.56,April,,
2616,56.3,192.1,96030.4,April,,
2617,56.3,193.1,155441.92,April,,
2618,56.3,194.1,140983.03,April,,
2619,56.3,195.1,4264320.35,April,,
2620,56.3,196.1,5253034.5,April,,
2621,56.3,197.1,0,April,,
2622,56.3,198.1,0,April,,
2623,56.3,199.1,0,April,,
2624,56.3,200.1,0,April,,
2625,56.3,201.1,0,April,,
2626,57.3,181.1,0,April,,
2627,57.3,182.1,0,April,,
2628,57.3,183.1,0,April,,
2629,57.3,184.1,0,April,,
2630,57.3,185.1,0,April,,
2631,57.3,186.1,0,April,,
2632,57.3,187.1,0,April,,
2633,57.3,188.1,15070.28,April,,
2634,57.3,189.1,4408571.8,April,,
2635,57.3,190.1,776.91,April,,
2636,57.3,191.1,8036.96,April,,
2637,57.3,192.1,19174.61,April,,
2638,57.3,193.1,85797.46,April,,
2639,57.3,194.1,685079.26,April,,
2640,57.3,195.1,993720.82,April,,
2641,57.3,196.1,137859.45,April,,
2642,57.3,197.1,0,April,,
2643,57.3,198.1,0,April,,
2644,57.3,199.1,0,April,,
2645,57.3,200.1,0,April,,
2646,57.3,201.1,0,April,,
2647,58.3,181.1,0,April,,
2648,58.3,182.1,0,April,,
2649,58.3,183.1,0,April,,
2650,58.3,184.1,0,April,,
2651,58.3,185.1,0,April,,
2652,58.3,186.1,0,April,,
2653,58.3,187.1,0,April,,
2654,58.3,188.1,0,April,,
2655,58.3,189.1,25732.18,April,,
2656,58.3,190.1,724264.46,April,,
2657,58.3,191.1,103111.41,April,,
2658,58.3,192.1,0,April,,
2659,58.3,193.1,0,April,,
2660,58.3,194.1,0,April,,
2661,58.3,195.1,0,April,,
2662,58.3,196.1,95.96,April,,
2663,58.3,197.1,30.67,April,,
2664,58.3,198.1,0,April,,
2665,58.3,199.1,0,April,,
2666,58.3,200.1,0,April,,
2667,58.3,201.1,0,April,,
2668,59.3,181.1,0,April,,
2669,59.3,182.1,0,April,,
2670,59.3,183.1,0,April,,
2671,59.3,184.1,0,April,,
2672,59.3,185.1,0,April,,
2673,59.3,186.1,0,April,,
