Year,Detail Record Count,Date Loaded from AKR,Date Loaded to Repository,FMP Area,FMP Subarea,NMFS Area,Gear,Target,Species Group,Species,Processor Federal Permit,Processor Name,Processor Vessel,Processor Plant/Operation,Vessel Federal Permit,Vessel Name,Vessel Length,# Distinct Processors,# Distinct Vessels,Conf Flag,Discards (mt),Retained (mt),Total Catch (mt),Discard Rate,Reporting Area Code
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,543,ROYAL AMERICAN,105,1,1,1,0.04130542,0,0.04130542,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,586,GOLDEN PISCES,98,1,1,1,0.03242016,0,0.03242016,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,723,MARGARET LYN,123,1,1,1,0.003792418,0,0.003792418,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,1043,SEA MAC,87,1,1,1,0.116096591,0,0.116096591,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,1234,LESLIE LEE,97,1,1,1,0.122374772,0,0.122374772,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,1265,PEGASUS,96,1,1,1,0.2141167,0,0.2141167,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,1318,GLADIATOR,124,1,1,1,0.005032749,0,0.005032749,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,1482,MISS LEONA,86,1,1,1,0.038178606,0,0.038178606,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,2837,PERSEVERANCE,87,1,1,1,0.080479111,0,0.080479111,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,2849,SEEKER,98,1,1,1,0.016064935,0,0.016064935,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,3402,CARAVELLE,86,1,1,1,0.029580434,0,0.029580434,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,3996,MAJESTY,99,1,1,1,0.137291108,0,0.137291108,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,4611,NORTHERN RAM,85,1,1,1,0.058910566,0,0.058910566,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,5130,OCEAN HARVESTER,108,1,1,1,0.009636227,0,0.009636227,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3259,"""Trident Seafoods Corporation""",INDEPENDENCE,FLD,6097,ALASKA DAWN,90,1,1,1,0.004772017,0,0.004772017,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3367,"""SEAFREEZE ALASKA I LLC""",LEGACY,FCP,3367,LEGACY,132,1,1,1,0.002119,0.040261,0.04238,5,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",3369,"""Unimak Vessel Llc""",UNIMAK,FCP,3369,UNIMAK,185,1,1,1,0.0015897,0.1573803,0.15897,1,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",34017,"""O'HARA CORPORATION""",ARAHO,FCP,34017,ARAHO,194,1,1,1,0,14.0971,14.0971,0,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",34249,"""SEAFREEZE ALASKA I LLC""",SEAFREEZE AMERICA,FCP,1193,BAY ISLANDER,88,1,1,1,0.05116,0,0.05116,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",34249,"""SEAFREEZE ALASKA I LLC""",SEAFREEZE AMERICA,FCP,2046,ALASKA BEAUTY,98,1,1,1,1.55547,0,1.55547,100,509
2018,1,7/14/19 19:41,7/18/19 11:39,BSAI,BS,509,NPT,Pacific Cod,Yellowfin Sole,"""sole, yellowfin""",34249,"""SEAFREEZE ALASKA I LLC""",SEAFREEZE AMERICA,FCP,3373,ALASKA PROVIDER,171,1,1,1,2.13285,0,2.13285,100,509
