SPECIES_CODE,YEAR,SUBAREA,SEX,AGE,AGEPOP,MEANLEN,SDEV
10210,1987,3,9,18,97911505,318.94,24.2
10210,1987,3,9,19,91649418,322.91,18.13
10210,1987,3,9,20,21058403,330.5,35.11
10210,1987,3,9,21,9262844,355.13,9.23
10210,1987,3,9,22,7099708,338.97,21.86
10210,1987,3,9,23,7237715,355.81,7.43
10210,1987,3,9,24,4197420,348.3,3.75
10210,1987,3,9,25,12221626,321.17,4.68
10210,1987,3,9,26,3205356,310,0
10210,1987,4,1,-9,0,,
10210,1987,4,1,5,25511,176.4,7.69
10210,1987,4,1,6,4232068,224.01,22.59
10210,1987,4,1,7,12524633,235.66,15.16
10210,1987,4,1,8,19774408,251.04,21.12
10210,1987,4,1,9,17348961,256.02,17.21
10210,1987,4,1,10,10717104,262.5,18.03
10210,1987,4,1,11,6502723,267.56,19.77
10210,1987,4,1,12,4898539,269.75,17.13
10210,1987,4,1,13,1553125,291.56,20.78
10210,1987,4,1,14,1022008,301.22,17.81
10210,1987,4,1,15,3027779,275.39,18.58
10210,1987,4,1,16,2223027,288.15,17.66
10210,1987,4,1,17,1963536,295.64,15.03
10210,1987,4,1,18,1947532,289.03,16.82
10210,1987,4,1,19,810575,308.24,11.99
10210,1987,4,1,20,821944,284.01,24.49
10210,1987,4,1,22,146494,320,0
10210,1987,4,1,23,42998,350,0
10210,1987,4,1,24,30221,340,0
10210,1987,4,1,25,30221,340,0
10210,1987,4,1,26,57520,310,0
10210,1987,4,2,-9,32499,440,0
10210,1987,4,2,4,0,,
10210,1987,4,2,5,430845,206.84,7.5
10210,1987,4,2,6,11957562,227.52,17.94
10210,1987,4,2,7,30070648,248.21,21.39
10210,1987,4,2,8,70495147,259.4,25.6
10210,1987,4,2,9,25638190,276.09,21.7
10210,1987,4,2,10,29608909,297.74,29.5
10210,1987,4,2,11,45042760,298.37,21.38
10210,1987,4,2,12,24378157,316.33,22.1
10210,1987,4,2,13,33667646,313.77,26.34
10210,1987,4,2,14,16503792,320.48,22.98
10210,1987,4,2,15,19861062,318.56,24.52
10210,1987,4,2,16,17088070,330,22.06
10210,1987,4,2,17,13001145,325.96,23.54
10210,1987,4,2,18,12749400,338.78,17.86
10210,1987,4,2,19,13247862,332.9,20.25
10210,1987,4,2,20,3363399,356.15,9.13
10210,1987,4,2,21,2650555,357.79,10.13
10210,1987,4,2,22,1051540,364.75,4.99
10210,1987,4,2,23,1870214,358.3,8.22
10210,1987,4,2,24,818674,350,0
10210,1987,4,2,25,1958714,320,0
10210,1987,4,3,-9,0,,
10210,1987,4,3,4,0,,
10210,1987,4,3,5,0,,
10210,1987,4,3,6,0,,
10210,1987,4,3,7,0,,
10210,1987,4,3,8,0,,
10210,1987,4,3,9,0,,
10210,1987,4,3,10,0,,
10210,1987,4,3,11,0,,
10210,1987,4,3,12,0,,
10210,1987,4,3,13,0,,
10210,1987,4,3,14,0,,
10210,1987,4,3,15,0,,
10210,1987,4,3,16,0,,
10210,1987,4,3,17,0,,
10210,1987,4,3,18,0,,
10210,1987,4,3,19,0,,
10210,1987,4,3,20,0,,
10210,1987,4,3,21,0,,
10210,1987,4,3,22,0,,
10210,1987,4,3,23,0,,
10210,1987,4,3,24,0,,
10210,1987,4,3,25,0,,
10210,1987,4,3,26,0,,
10210,1987,4,9,-9,32499,440,0
10210,1987,4,9,4,0,,
10210,1987,4,9,5,456355,205.14,10.27
10210,1987,4,9,6,16189631,226.6,19.32
10210,1987,4,9,7,42595281,244.52,20.57
10210,1987,4,9,8,90269555,257.57,24.93
10210,1987,4,9,9,42987151,267.99,22.3
10210,1987,4,9,10,40326013,288.37,31.11
10210,1987,4,9,11,51545484,294.48,23.52
10210,1987,4,9,12,29276695,308.54,27.54
10210,1987,4,9,13,35220771,312.79,26.51
10210,1987,4,9,14,17525800,319.35,23.15
10210,1987,4,9,15,22888841,312.85,27.95
10210,1987,4,9,16,19311097,325.18,25.39
10210,1987,4,9,17,14964681,321.98,24.82
10210,1987,4,9,18,14696931,332.19,24.47
10210,1987,4,9,19,14058437,331.48,20.68
10210,1987,4,9,20,4185342,341.99,31.72
10210,1987,4,9,21,2650555,357.79,10.13
