"SPECIES_NAME","SPECIES","BARCODE","SEX","LENGTH_CM","WEIGHT_KG","AGE","HAUL_NUMBER","HAUL_JOIN","RETRIEVAL_DATE","DEPLOYMENT_DATE","NMFS_AREA","GEAR","GEAR_DESCRIPTION","VESSEL_TYPE","VESSEL_TYPE_DESCRIPTION","SAMPLING_PLATFORM","CDQ_CODE","PREDOMINANT_SPECIES_IN_HAUL","LATDD_END","LATDD_START","LONDD_END","LONDD_START","BOTTOM_DEPTH_FATHOMS","CRUISE","PERMIT","VESSEL_OR_PLANT","YEAR"
"YELLOWFIN SOLE",140,1240033,"F",24,0.16,,276,23401000661000000556,28-APR-19,28-APR-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.395,58.25,-163.755,-163.41167,20,23401,"661","NORTHERN GLACIER",2019
"YELLOWFIN SOLE",140,1190618,"M",33,0.4,,407,23407005822000000818,23-MAY-19,23-MAY-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.9,59.05,-162.88333,-162.95,8,23407,"5822","ENTERPRISE",2019
"YELLOWFIN SOLE",140,1046628,"M",35,0.54,,437,23407005822000000878,28-MAY-19,28-MAY-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",59.2,59.16667,-163.98333,-163.71667,11,23407,"5822","ENTERPRISE",2019
"YELLOWFIN SOLE",140,1251570,"F",31,0.36,,412,23411003819000000828,08-MAY-19,08-MAY-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.36667,58.41667,-166.9,-166.86667,24,23411,"3819","ALASKA SPIRIT",2019
"YELLOWFIN SOLE",140,1250096,"F",26,0.17,,533,23418001879000005740,29-JUN-19,29-JUN-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.06333,56.88167,-166.28833,-166.07167,41,23418,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,653748,"F",34,0.44,,146,23418034969000000322,27-APR-19,27-APR-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.295,58.51667,-163.13,-163.22333,18,23418,"34969","AMERICAS FINEST",2019
"YELLOWFIN SOLE",140,1189804,"M",32,0.31,,360,23419002110000000722,29-MAY-19,28-MAY-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.53333,58.7,-159.56667,-159.6,8,23419,"2110","CAPE HORN",2019
"YELLOWFIN SOLE",140,1265746,"F",33,0.44,,614,23423003369000001230,08-AUG-19,07-AUG-19,521,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Kam/Arrow/Turbot",59.1,59.31833,-172.85167,-173.13333,54,23423,"3369","UNIMAK",2019
"YELLOWFIN SOLE",140,1378969,"M",34,0.46,14,670,23654002733000002540,05-SEP-19,05-SEP-19,521,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",59.75333,59.44833,-171.69333,-171.50833,38,23654,"2733","SEAFREEZE ALASKA",2019
"YELLOWFIN SOLE",140,1378964,"F",34,0.44,,1310,23654002733000002882,28-SEP-19,28-SEP-19,514,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",58.17667,58.11,-169.43333,-168.81167,37,23654,"2733","SEAFREEZE ALASKA",2019
"YELLOWFIN SOLE",140,1187466,"F",33,0.37,,704,23591001610000001408,25-AUG-19,25-AUG-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.67333,56.63333,-165.39,-165.26667,40,23591,"1610","REBECCA IRENE",2019
"YELLOWFIN SOLE",140,1262453,"M",33,0.41,14,768,23596003694000001562,22-AUG-19,22-AUG-19,517,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.37667,56.555,-165.01333,-165.02,42,23596,"3694","ARICA",2019
"YELLOWFIN SOLE",140,1262490,"F",28,0.26,,793,23596003694000001612,26-AUG-19,26-AUG-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.66667,56.66833,-165.115,-165.51667,39,23596,"3694","ARICA",2019
"YELLOWFIN SOLE",140,1320453,"F",30,0.31,8,705,23611001879000006084,14-AUG-19,13-AUG-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Pollock",56.91,56.78667,-166.47667,-166.23167,42,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1320455,"F",35,0.4,,734,23611001879000006144,19-AUG-19,19-AUG-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.69333,56.52,-165.03833,-165.21833,44,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1320409,"F",34,0.46,,739,23611001879000006154,20-AUG-19,19-AUG-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.77,56.695,-165.04167,-165.35,41,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1320499,"F",38,0.58,,773,23611001879000006222,28-AUG-19,27-AUG-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.22,57.46833,-168.34,-168.355,42,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1320467,"F",31,0.41,11,789,23611001879000006254,30-AUG-19,30-AUG-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.49833,57.30833,-166.73167,-166.77,38,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1331789,"F",26,0.23,,845,23611001879000006366,12-SEP-19,12-SEP-19,524,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.39167,58.63333,-170.19167,-170.115,40,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1315760,"F",33,0.4,,862,23611001879000006400,18-SEP-19,18-SEP-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.46167,58.55,-169.755,-170.11333,39,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1249555,"F",36,0.64,,891,23629004092000001786,10-SEP-19,10-SEP-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.21,57.14167,-165.76667,-166.37667,36,23629,"4092","CONSTELLATION",2019
"YELLOWFIN SOLE",140,680957,"F",37,0.54,,585,23630005822000001174,09-JUL-19,09-JUL-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.15,57.06667,-166.9,-166.58333,38,23630,"5822","ENTERPRISE",2019
"YELLOWFIN SOLE",140,1236372,"F",30,0.3,,908,23731003835000002100,29-SEP-19,29-SEP-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.92667,56.94,-165.37333,-165.86667,37,23731,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1225702,"F",32,0.36,,3119,23731003835000002200,09-OCT-19,09-OCT-19,513,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","C51","Flatfish",57.55,57.62,-167.275,-167.37333,36,23731,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1200747,"F",33,0.46,,849,23740002110000001700,10-OCT-19,10-OCT-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.01667,56.85,-165.65,-165.83333,38,23740,"2110","CAPE HORN",2019
"YELLOWFIN SOLE",140,665750,"F",37,0.53,,735,23852003423000001700,15-OCT-19,14-OCT-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.80333,57.84833,-168.33333,-168.29833,36,23852,"3423","ALASKA WARRIOR",2019
"YELLOWFIN SOLE",140,905732,"F",34,0.36,16,781,23852003423000001800,26-OCT-19,26-OCT-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.19833,56.96833,-165.13,-164.86833,35,23852,"3423","ALASKA WARRIOR",2019
"YELLOWFIN SOLE",140,1249591,"F",34,0.36,13,948,23853004092000001900,25-SEP-19,25-SEP-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.09667,57.255,-166.57667,-167.035,37,23853,"4092","CONSTELLATION",2019
"YELLOWFIN SOLE",140,1368638,"F",38,0.63,,1345,23861002733000003100,13-OCT-19,13-OCT-19,514,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","C52","Flatfish",58.09,58.25333,-168.18,-168.56333,36,23861,"2733","SEAFREEZE ALASKA",2019
"YELLOWFIN SOLE",140,656262,"M",31,0.35,,294,23397003694000000600,22-APR-19,22-APR-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.48167,58.42333,-164.24333,-164.71833,20,23397,"3694","ARICA",2019
"YELLOWFIN SOLE",140,1243878,"F",36,0.56,21,463,23399001879000005600,12-JUN-19,12-JUN-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.32667,58.35,-165.34,-165.62833,24,23399,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1207172,"F",31,0.31,,299,23419002110000000600,15-MAY-19,15-MAY-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.3,58.3,-164.9,-164.93333,22,23419,"2110","CAPE HORN",2019
"YELLOWFIN SOLE",140,668535,"M",33,0.39,,812,23611001879000006300,06-SEP-19,06-SEP-19,521,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.69667,58.60833,-171.04667,-171.00667,44,23611,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1236560,"M",30,0.26,14,1112,23229034249000000540,16-MAR-19,16-MAR-19,509,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",57.16,57.03667,-163.41167,-163.87667,35,23229,"34249","SEAFREEZE AMERICA",2019
"YELLOWFIN SOLE",140,1236530,"M",36,0.56,17,79,23229034249000000562,17-MAR-19,17-MAR-19,509,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.02,57.01,-163.84333,-163.36333,35,23229,"34249","SEAFREEZE AMERICA",2019
"YELLOWFIN SOLE",140,1260203,"F",34,0.46,,75,23230002733000000500,06-MAR-19,06-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.305,57.29667,-167.23,-167.78833,38,23230,"2733","SEAFREEZE ALASKA",2019
"YELLOWFIN SOLE",140,1260255,"M",36,0.52,14,2068,23230002733000000400,27-FEB-19,26-FEB-19,513,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",57.325,57.265,-166.87,-166.79333,37,23230,"2733","SEAFREEZE ALASKA",2019
"YELLOWFIN SOLE",140,1273010,"F",36,0.7,,1041,23203001996000000200,16-FEB-19,16-FEB-19,513,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",56.805,56.85167,-166.74167,-166.325,39,23203,"1996","KATIE ANN",2019
"YELLOWFIN SOLE",140,1236632,"F",30,0.27,,120,23280002134000000400,07-MAR-19,07-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.97833,57.11833,-166.45,-166.49667,39,23280,"2134","OCEAN PEACE",2019
"YELLOWFIN SOLE",140,1215385,"M",34,0.38,,2215,23355034249000001000,26-APR-19,26-APR-19,514,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",58.62833,58.62167,-163.175,-162.60667,13,23355,"34249","SEAFREEZE AMERICA",2019
"YELLOWFIN SOLE",140,1251979,"M",26,0.18,,300,23365003369000000600,25-APR-19,25-APR-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.45,58.71167,-162.76833,-162.86,14,23365,"3369","UNIMAK",2019
"YELLOWFIN SOLE",140,1256869,"M",31,0.34,14,281,23380003423000000700,15-MAY-19,15-MAY-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","C51","Flatfish",59.22833,59.01833,-163.68167,-163.43167,9,23380,"3423","ALASKA WARRIOR",2019
"YELLOWFIN SOLE",140,1212992,"F",27,0.21,,367,23390002800000005600,27-APR-19,26-APR-19,514,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",58.52833,58.46556,-163.24056,-163.39444,17,23390,"2800","US INTREPID",2019
"YELLOWFIN SOLE",140,1195217,"F",35,0.43,,3008,23127003835000000140,16-FEB-19,15-FEB-19,513,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",56.82,56.835,-166.33333,-166.69333,41,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195262,"F",35,0.56,,61,23127003835000000172,18-FEB-19,18-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","C51","Flatfish",56.7,56.63833,-165.79167,-165.43,40,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195218,"F",37,0.57,,65,23127003835000000182,19-FEB-19,19-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.76333,56.65167,-166.24667,-166.04167,41,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195254,"F",35,0.47,,74,23127003835000000202,21-FEB-19,21-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.29167,57.305,-166.94167,-166.57667,38,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195201,"F",36,0.59,,79,23127003835000000212,22-FEB-19,22-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.135,57.25167,-166.73833,-166.88833,38,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195250,"F",37,0.58,,84,23127003835000000222,23-FEB-19,23-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.29333,57.17167,-166.925,-166.68,37,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195282,"F",37,0.74,,111,23127003835000000278,03-MAR-19,03-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.15667,56.98167,-167.26333,-167.02667,39,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195286,"F",34,0.51,,123,23127003835000000308,06-MAR-19,06-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.99167,57.17333,-166.41,-166.675,39,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195275,"F",32,0.58,,135,23127003835000000338,09-MAR-19,09-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.04333,57.16667,-166.12,-166.47167,37,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1195279,"F",35,0.49,14,140,23127003835000000348,10-MAR-19,10-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.24,57.09833,-166.48833,-166.21333,38,23127,"3835","SEAFISHER",2019
"YELLOWFIN SOLE",140,1259795,"F",38,0.73,18,155,23149001879000004918,02-MAR-19,02-MAR-19,509,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Pollock",56.53,56.52333,-164.61667,-164.73167,44,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1259769,"F",35,0.56,,175,23149001879000004958,08-MAR-19,08-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.74333,56.68,-166.20833,-165.92,44,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1259733,"F",39,0.7,,185,23149001879000004978,10-MAR-19,10-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.69833,56.64333,-166.21333,-165.94,45,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1259732,"F",40,0.74,,190,23149001879000004988,12-MAR-19,12-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.60667,57.45833,-167.30833,-167.08833,39,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1259800,"M",24,0.16,,206,23149001879000005020,17-MAR-19,17-MAR-19,509,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.65333,56.54333,-164.3,-164.085,43,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1259746,"F",37,0.69,11,217,23149001879000005042,19-MAR-19,19-MAR-19,509,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.87333,56.87167,-164.135,-164.42333,39,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1258303,"F",34,0.4,,224,23149001879000005056,20-MAR-19,20-MAR-19,509,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",56.79167,56.59833,-164.01167,-164.04167,41,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1258306,"M",32,0.39,,2001,23149001879000005106,28-MAR-19,28-MAR-19,513,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",57.90833,57.92667,-168.36,-167.79833,36,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1240180,"M",33,0.39,,253,23149001879000005116,29-MAR-19,29-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.95167,57.78667,-168.39,-168.12167,39,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1226480,"F",34,0.47,,261,23149001879000005132,30-MAR-19,30-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.835,57.81333,-167.77,-167.62833,38,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1272499,"M",35,0.43,,3007,23149001879000005196,08-APR-19,08-APR-19,509,1,"Non Pelagic Trawl",2,"Mothership - Unsorted Catch","Halibut decksorting EFP","","Flatfish",57.82,58.09333,-163.0375,-162.94667,21,23149,"1879","AMERICAN NO I",2019
"YELLOWFIN SOLE",140,1225856,"M",35,0.52,,4,23204034017000000008,23-JAN-19,23-JAN-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.72167,57.47833,-167.235,-167.14333,36,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1225818,"F",26,0.16,,9,23204034017000000018,24-JAN-19,24-JAN-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.45333,57.715,-167.03667,-167.20667,36,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1237607,"M",31,0.32,,23,23204034017000000046,27-JAN-19,27-JAN-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.73,57.59167,-167.19,-167.26,37,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1237621,"F",37,0.58,17,54,23204034017000000108,01-FEB-19,01-FEB-19,509,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.2,57.16,-163.95,-163.63333,34,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1257327,"M",31,0.33,,67,23204034017000000134,06-FEB-19,06-FEB-19,516,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.215,57.22667,-162.4,-162.44333,27,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1257347,"M",37,0.49,,83,23204034017000000166,08-FEB-19,08-FEB-19,516,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.01,57.01167,-162.64833,-162.89,31,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1237656,"M",39,0.64,,110,23204034017000000220,13-FEB-19,13-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.545,57.48667,-167.94833,-168.07,37,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1225845,"M",35,0.5,,120,23204034017000000240,15-FEB-19,15-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.68833,57.805,-167.96333,-167.855,36,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1257396,"F",37,0.52,,127,23204034017000000254,16-FEB-19,16-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.30167,57.33667,-167.57167,-167.68833,39,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1257326,"F",35,0.48,,145,23204034017000000290,27-FEB-19,26-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.57667,57.36667,-168.45167,-168.45833,38,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1225819,"F",40,0.9,,151,23204034017000000302,28-FEB-19,28-FEB-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.38833,57.58333,-168.26833,-168.37667,38,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1237674,"F",32,0.41,,175,23204034017000000350,04-MAR-19,04-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.18833,57.32333,-167.45833,-167.66167,38,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1225814,"M",35,0.46,,190,23204034017000000380,07-MAR-19,07-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.37333,57.36,-167.07833,-166.78167,36,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1187577,"F",38,0.68,,198,23204034017000000396,12-MAR-19,11-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.26667,57.06167,-166.285,-166.04333,37,23204,"34017","ARAHO",2019
"YELLOWFIN SOLE",140,1180775,"M",32,0.39,,203,23204034017000000406,13-MAR-19,12-MAR-19,513,1,"Non Pelagic Trawl",1,"Catcher/Processor Vessel","Halibut decksorting EFP","","Flatfish",57.60167,57.36667,-168.35667,-168.375,37,23204,"34017","ARAHO",2019
