"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"119",0,0,0,0,0,0,0,0,0,0,0,0,15.215,36.577,55.855,42.23,76.681,4.011,7.692,391.566412806,31.43638,14.71969,34.900660656,4.39077057,18.901155809,30.466540086,38.036956074,13.043241227,34.862750508
"120",0,0,0,0,0,0,0,0,0,0,0,0,6.444,2.392,17.322,20.222,2905.771,2646.897,7.249,22.42068,0.25531,1.00125,6.29832,114.31562,224.160904835,455.562477173,1552.68389,1144.13712,1622.0817
"121",0,0,0,0,0,0,0,0,0,0,0,0,1574.206,2.424,135.233,14.009,728.835,2888.919,3.86,0.65955,1.58334,4.93596,22.1318,122.63072,416.445508757,446.48299,256.60387,1985.34123,5713.72906
"122",0,0,0,0,0,0,0,0,0,0,0,0,1405.356,241.852,1121.981,6.417,13.649,24.496,0,7.34138,5.48e-06,622.24186,59.26753,98.03624,6430.45999,2998.06918,2211.59763,301.32376,1711.26668
"123",0,0,0,0,0,0,0,0,0,0,0,0,106.888,13.45,36.785,0.001,31.792,3.266,0,9.98701,0,8.7906,1.91012,39.6948,129.94376,290.99766,133.17314,0,9.69107
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.832,0,101.82246,0,0,0,13.23906,0,0,0,0.81801,4.40839
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89779,0,0,0,3.44257,0,0,0,0,1.68921
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10776
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94748
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.339e-05
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65454
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00208
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05589
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07806
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0.05034,0.04155,0,0
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003746837,0,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0.01399,0.29196,0,0.001
"136",0,0,0,0,0,0,0,0,0,0,0,0,0.093,0.899,0.017,1.068,1.422,1.312,1.878,1.152184505,1.364462021,1.416756495,2.522446587,0.512958435,0.978787992,1.113671614,1.881774295,0.531696094,0.211897587
"137",0,0,0,0,0,0,0,0,0,0,0,0,0.815,4.736,3.628,5.686,16.665,0.802,3.787,5.491127302,2.351362286,3.61466169,26.777595868,14.80557,33.422631018,5.58432502,11.065608827,1.276353871,0.226603904
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299,0.04,0,0,0.264,0,0.001,0.64103,0,0,0,0,0.003215946
"139",0,0,0,0,0,0,0,0,0,0,0,0,0.075,1.888,2.183,4.627,1.036,0.191,2.137,0.23883,0.003,0.55569,0,5.74919,75.51993,11.58302,22.90588,15.85293,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,0,0,0,0,2.408,0.227,238.228,5.516,0,4.503,0,0.032,0.74613,0.21313,0,66.88351,46.72404,7.57078,22.45492,11.41874,85.76313
"142",0,0,0,0,0,0,0,0,0,0,0,0,1379.519,120.104,10555.549,2.125,0,12.154,0,2.42329,0,0.41059,18.29051,74.96486,5086.30709,5384.59748,1311.8721,4193.62565,867.56664
"143",0,0,0,0,0,0,0,0,0,0,0,0,634.001,1095.153,2104.5,0.094,0,10.716,0.876,0,0,21.89911,18.83374,18.81038,537.9172,2194.5626,247.77182,1214.4819,247.73178
"144",0,0,0,0,0,0,0,0,0,0,0,0,2.326,206.345,0,0.392,0,5.591,0,8.88909,0,4.7121,1.54317,7.95911,6.23352,15.31234,0.62986,178.34956,13.53632
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.69176,0,2.2509,7.25704,0,0,130.15018,0.62884
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96862,0
"147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41762
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92884,0
"149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7604,0
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13853
"151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74707
