Month,Year,t,btemp,cpool_1,cpool_2,cpool_3,Model
9,1970,9/20/70,3.971459429,0.088553936,0.293097128,0.433478798,CFS_hindcast
9,1970,9/27/70,4.061893556,0.061066338,0.271740182,0.399919036,CFS_hindcast
10,1970,10/4/70,4.216879122,0.006101328,0.210708583,0.341955772,CFS_hindcast
10,1970,10/11/70,4.416338572,0,0.177100752,0.287005904,CFS_hindcast
10,1970,10/18/70,4.208242157,0,0.128281547,0.256475912,CFS_hindcast
10,1970,10/25/70,3.948523307,0,0.082514086,0.210727906,CFS_hindcast
11,1970,11/1/70,3.556882543,0,0.039742297,0.201579095,CFS_hindcast
11,1970,11/8/70,3.404913223,0,0.006112593,0.168006779,CFS_hindcast
11,1970,11/15/70,3.127113236,0,0,0.113050635,CFS_hindcast
11,1970,11/22/70,2.874856816,0,0,0.067224548,CFS_hindcast
11,1970,11/29/70,2.625068883,0,0,0.051944233,CFS_hindcast
12,1970,12/6/70,1.751175657,0,0.072998806,0.737464078,CFS_hindcast
12,1970,12/13/70,1.081280002,0.072996142,0.298226771,0.984723779,CFS_hindcast
12,1970,12/20/70,1.080849712,0.033472894,0.292057675,0.996946247,CFS_hindcast
12,1970,12/27/70,0.625389998,0.146015146,0.786138979,1,CFS_hindcast
1,1971,1/4/71,0.035550657,0.386471468,0.975566142,1,CFS_hindcast
1,1971,1/11/71,-0.212416519,0.55713153,1,1,CFS_hindcast
1,1971,1/18/71,-0.383888822,0.731131811,1,1,CFS_hindcast
1,1971,1/25/71,-0.877735912,0.948078467,1,1,CFS_hindcast
2,1971,2/2/71,-0.985816481,1,1,1,CFS_hindcast
2,1971,2/9/71,-1.410409588,1,1,1,CFS_hindcast
2,1971,2/16/71,-1.510058249,1,1,1,CFS_hindcast
2,1971,2/21/71,-1.65130445,1,1,1,CFS_hindcast
2,1971,2/28/71,-1.710110454,1,1,1,CFS_hindcast
3,1971,3/7/71,-1.754252557,1,1,1,CFS_hindcast
3,1971,3/14/71,-1.778859942,1,1,1,CFS_hindcast
3,1971,3/21/71,-1.769498859,1,1,1,CFS_hindcast
3,1971,3/28/71,-1.763440606,1,1,1,CFS_hindcast
4,1971,4/4/71,-1.775503399,1,1,1,CFS_hindcast
4,1971,4/11/71,-1.783175683,1,1,1,CFS_hindcast
4,1971,4/18/71,-1.789285958,1,1,1,CFS_hindcast
4,1971,4/25/71,-1.797182565,1,1,1,CFS_hindcast
5,1971,5/2/71,-1.756643844,1,1,1,CFS_hindcast
5,1971,5/9/71,-1.660839675,1,1,1,CFS_hindcast
5,1971,5/16/71,-1.459934746,1,1,1,CFS_hindcast
5,1971,5/23/71,-1.137842443,0.939100163,1,1,CFS_hindcast
5,1971,5/30/71,-0.921469081,0.862961758,0.957360262,1,CFS_hindcast
6,1971,6/6/71,-0.644051192,0.762475099,0.905611337,0.993915674,CFS_hindcast
6,1971,6/13/71,-0.395239923,0.707660569,0.853833262,0.920832089,CFS_hindcast
6,1971,6/20/71,-0.20504342,0.661958922,0.832532375,0.917794987,CFS_hindcast
6,1971,6/27/71,-0.028607279,0.600930909,0.802076213,0.911724369,CFS_hindcast
7,1971,7/4/71,0.166760529,0.54912296,0.753362298,0.878269743,CFS_hindcast
7,1971,7/11/71,0.448849211,0.491073559,0.698560524,0.832556628,CFS_hindcast
7,1971,7/18/71,0.692329969,0.460513336,0.652806842,0.792994179,CFS_hindcast
7,1971,7/25/71,0.964087851,0.40874321,0.637538051,0.744237556,CFS_hindcast
8,1971,8/1/71,1.139571476,0.430064784,0.628425938,0.716834143,CFS_hindcast
8,1971,8/8/71,1.160910327,0.451394715,0.637553681,0.732046256,CFS_hindcast
8,1971,8/15/71,1.236327948,0.454544801,0.640629599,0.741214156,CFS_hindcast
8,1971,8/22/71,1.443101718,0.442471809,0.631498615,0.713764975,CFS_hindcast
8,1971,8/29/71,1.623814992,0.427266964,0.61014909,0.695467247,CFS_hindcast
9,1971,9/5/71,1.646540188,0.436491004,0.631475599,0.704623496,CFS_hindcast
9,1971,9/12/71,1.721378564,0.42438689,0.634587423,0.701596158,CFS_hindcast
9,1971,9/19/71,2.076320672,0.35430262,0.579799136,0.652934552,CFS_hindcast
9,1971,9/26/71,2.374946913,0.335930756,0.524990584,0.604202704,CFS_hindcast
10,1971,10/3/71,2.318903284,0.320595118,0.515833513,0.610321641,CFS_hindcast
10,1971,10/10/71,2.389369658,0.143597325,0.439580736,0.579814781,CFS_hindcast
10,1971,10/17/71,2.696574265,0.027512291,0.229048086,0.476165049,CFS_hindcast
10,1971,10/24/71,2.608077982,0.024457994,0.189388298,0.451755633,CFS_hindcast
10,1971,10/31/71,2.549716092,0.015286994,0.122232707,0.409066141,CFS_hindcast
11,1971,11/7/71,2.353919098,0,0.058079126,0.436497222,CFS_hindcast
11,1971,11/14/71,2.067245256,0,0.018341332,0.533954142,CFS_hindcast
11,1971,11/21/71,1.845093796,0,0.003056356,0.664918079,CFS_hindcast
11,1971,11/28/71,1.10746037,0,0.347429724,1,CFS_hindcast
12,1971,12/5/71,0.371455633,0.091192421,1,1,CFS_hindcast
12,1971,12/12/71,0.191992425,0.243303614,1,1,CFS_hindcast
12,1971,12/19/71,-0.068470873,0.508384698,1,1,CFS_hindcast
12,1971,12/26/71,-0.059782093,0.514464371,1,1,CFS_hindcast
1,1972,1/4/72,-0.100771655,0.630337486,1,1,CFS_hindcast
1,1972,1/11/72,-0.759817432,0.935814756,1,1,CFS_hindcast
1,1972,1/18/72,-1.268735631,1,1,1,CFS_hindcast
1,1972,1/25/72,-1.299804269,1,1,1,CFS_hindcast
2,1972,2/1/72,-1.240933046,1,1,1,CFS_hindcast
2,1972,2/6/72,-1.316017139,0.996937659,1,1,CFS_hindcast
2,1972,2/13/72,-1.35579644,0.98776798,1,1,CFS_hindcast
2,1972,2/20/72,-1.612424347,0.99694099,1,1,CFS_hindcast
2,1972,2/27/72,-1.675662224,1,1,1,CFS_hindcast
3,1972,3/5/72,-1.739176558,1,1,1,CFS_hindcast
3,1972,3/12/72,-1.778258272,1,1,1,CFS_hindcast
3,1972,3/19/72,-1.799706086,1,1,1,CFS_hindcast
3,1972,3/26/72,-1.807164566,1,1,1,CFS_hindcast
4,1972,4/2/72,-1.810740408,1,1,1,CFS_hindcast
4,1972,4/9/72,-1.83500601,1,1,1,CFS_hindcast
4,1972,4/16/72,-1.838635104,1,1,1,CFS_hindcast
4,1972,4/23/72,-1.842125285,1,1,1,CFS_hindcast
4,1972,4/30/72,-1.823307305,1,1,1,CFS_hindcast
5,1972,5/7/72,-1.775758992,1,1,1,CFS_hindcast
5,1972,5/14/72,-1.661450078,1,1,1,CFS_hindcast
5,1972,5/21/72,-1.500945354,1,1,1,CFS_hindcast
5,1972,5/28/72,-1.205786093,1,1,1,CFS_hindcast
6,1972,6/4/72,-0.986910024,0.954369145,1,1,CFS_hindcast
6,1972,6/11/72,-0.702249446,0.82943961,0.996959569,1,CFS_hindcast
6,1972,6/18/72,-0.066615039,0.448483677,0.881185195,1,CFS_hindcast
6,1972,6/25/72,0.343525147,0.323680535,0.719758447,0.89951399,CFS_hindcast
7,1972,7/2/72,0.547142629,0.335870025,0.652867696,0.826462707,CFS_hindcast
7,1972,7/9/72,0.761742257,0.338902493,0.573741119,0.796072264,CFS_hindcast
7,1972,7/16/72,1.01512383,0.344963993,0.518861159,0.726123624,CFS_hindcast
7,1972,7/23/72,1.203340418,0.35103047,0.521903209,0.720029226,CFS_hindcast
7,1972,7/30/72,1.351396801,0.375407703,0.527952697,0.695634458,CFS_hindcast
8,1972,8/6/72,1.523223878,0.369271456,0.527917533,0.677352127,CFS_hindcast
8,1972,8/13/72,1.529255084,0.372312086,0.540082156,0.659044407,CFS_hindcast
8,1972,8/20/72,1.692465323,0.369232954,0.546163492,0.668163847,CFS_hindcast
8,1972,8/27/72,1.929726768,0.366212786,0.530899226,0.640731341,CFS_hindcast
9,1972,9/3/72,2.265040983,0.320421064,0.512672595,0.613335151,CFS_hindcast
9,1972,9/10/72,2.201548594,0.341721379,0.524909286,0.634689656,CFS_hindcast
9,1972,9/17/72,2.079680053,0.366118977,0.555401543,0.64382808,CFS_hindcast
9,1972,9/24/72,2.25952933,0.341737282,0.521867548,0.622526526,CFS_hindcast
10,1972,10/1/72,2.355687127,0.317371524,0.49444877,0.601201275,CFS_hindcast
10,1972,10/8/72,2.634942658,0.244234946,0.360171985,0.476145641,CFS_hindcast
10,1972,10/15/72,2.844535943,0.183180978,0.271673452,0.366356547,CFS_hindcast
10,1972,10/22/72,3.009891801,0.146557793,0.216751681,0.29620421,CFS_hindcast
10,1972,10/29/72,2.856259548,0.152682791,0.222868802,0.326721617,CFS_hindcast
11,1972,11/5/72,2.736442384,0.131314585,0.216765698,0.29619402,CFS_hindcast
11,1972,11/12/72,2.54884336,0.103843805,0.17709676,0.277845993,CFS_hindcast
11,1972,11/19/72,2.401497756,0.036648521,0.07634248,0.256312315,CFS_hindcast
11,1972,11/26/72,2.007664132,0.012216382,0.061064098,0.36898063,CFS_hindcast
12,1972,12/3/72,1.892391146,0,0.021369374,0.423753565,CFS_hindcast
12,1972,12/10/72,1.767585987,0,0,0.865513925,CFS_hindcast
12,1972,12/17/72,0.819050999,0.009118046,0.703653025,1,CFS_hindcast
12,1972,12/26/72,0.249644225,0.218984996,0.984697556,1,CFS_hindcast
1,1973,1/4/73,-0.089549183,0.645648664,1,1,CFS_hindcast
1,1973,1/11/73,-0.397870882,0.76466446,1,1,CFS_hindcast
1,1973,1/18/73,-1.201836723,0.978603871,1,1,CFS_hindcast
1,1973,1/21/73,-1.585921612,1,1,1,CFS_hindcast
1,1973,1/28/73,-1.621689335,1,1,1,CFS_hindcast
2,1973,2/4/73,-1.612952271,1,1,1,CFS_hindcast
2,1973,2/11/73,-1.604078551,1,1,1,CFS_hindcast
2,1973,2/18/73,-1.651148399,1,1,1,CFS_hindcast
2,1973,2/25/73,-1.648526506,1,1,1,CFS_hindcast
3,1973,3/4/73,-1.649401294,1,1,1,CFS_hindcast
3,1973,3/11/73,-1.648552714,1,1,1,CFS_hindcast
3,1973,3/18/73,-1.705976375,1,1,1,CFS_hindcast
3,1973,3/25/73,-1.718912784,1,1,1,CFS_hindcast
4,1973,4/1/73,-1.714357557,1,1,1,CFS_hindcast
4,1973,4/8/73,-1.694461685,1,1,1,CFS_hindcast
4,1973,4/15/73,-1.548997045,1,1,1,CFS_hindcast
4,1973,4/22/73,-1.527037258,1,1,1,CFS_hindcast
4,1973,4/29/73,-1.44309311,1,1,1,CFS_hindcast
5,1973,5/6/73,-1.110208916,0.963454245,1,1,CFS_hindcast
5,1973,5/13/73,-0.748406784,0.835409138,0.987816679,1,CFS_hindcast
5,1973,5/20/73,-0.326137152,0.655580154,0.908611278,0.996953237,CFS_hindcast
5,1973,5/27/73,0.00023804,0.554973871,0.795881273,0.945192671,CFS_hindcast
6,1973,6/3/73,0.520890867,0.436231421,0.658761466,0.847683816,CFS_hindcast
6,1973,6/10/73,0.899447555,0.353979625,0.594856862,0.756321552,CFS_hindcast
6,1973,6/17/73,1.306879739,0.311293992,0.546164736,0.655900459,CFS_hindcast
6,1973,6/24/73,1.89602867,0.173885214,0.414998214,0.585784685,CFS_hindcast
7,1973,7/1/73,2.329094641,0.106723386,0.338773042,0.53096343,CFS_hindcast
7,1973,7/8/73,2.468259066,0.07627579,0.332661263,0.491333594,CFS_hindcast
7,1973,7/15/73,2.747619867,0.064112926,0.296043424,0.476075936,CFS_hindcast
7,1973,7/22/73,2.70521781,0.067170626,0.320434945,0.485173771,CFS_hindcast
7,1973,7/29/73,2.830218999,0.079399485,0.299170467,0.506547024,CFS_hindcast
8,1973,8/5/73,2.987813981,0.088561568,0.283921256,0.479135181,CFS_hindcast
8,1973,8/12/73,2.958621094,0.106873325,0.283903807,0.485214975,CFS_hindcast
8,1973,8/19/73,3.06058549,0.112973697,0.277793074,0.476047171,CFS_hindcast
8,1973,8/26/73,3.03130111,0.122129543,0.305211848,0.485160487,CFS_hindcast
9,1973,9/2/73,3.107411692,0.125180492,0.317457047,0.454745325,CFS_hindcast
9,1973,9/9/73,3.370587674,0.103837531,0.290013217,0.43950849,CFS_hindcast
9,1973,9/16/73,4.006708024,0.073301567,0.235064253,0.378437875,CFS_hindcast
9,1973,9/23/73,3.923385491,0.088565216,0.250286395,0.390598963,CFS_hindcast
9,1973,9/30/73,3.646279257,0.048865228,0.277757416,0.396735145,CFS_hindcast
10,1973,10/7/73,3.539691625,0.02442599,0.274725062,0.402827832,CFS_hindcast
10,1973,10/14/73,3.384363367,0.009157235,0.235064163,0.350980333,CFS_hindcast
10,1973,10/21/73,3.463994222,0,0.079435129,0.247306332,CFS_hindcast
10,1973,10/28/73,3.320952808,0,0.012228766,0.228950705,CFS_hindcast
11,1973,11/4/73,3.135486026,0,0,0.225842355,CFS_hindcast
11,1973,11/11/73,2.934952382,0,0,0.250208529,CFS_hindcast
11,1973,11/18/73,2.649069016,0,0,0.283782018,CFS_hindcast
11,1973,11/25/73,2.280534374,0,0,0.34167901,CFS_hindcast
12,1973,12/2/73,1.700914755,0,0,0.764940838,CFS_hindcast
12,1973,12/9/73,1.195250037,0,0.33177276,0.9877544,CFS_hindcast
12,1973,12/16/73,0.477511208,0.112535703,0.892989607,1,CFS_hindcast
12,1973,12/23/73,0.140975815,0.359061837,0.984709431,1,CFS_hindcast
1,1974,1/4/74,0.093533065,0.20986028,1,1,CFS_hindcast
1,1974,1/6/74,0.413466054,0.148998537,0.886877174,1,CFS_hindcast
1,1974,1/13/74,-0.058670023,0.569402221,0.935814126,1,CFS_hindcast
1,1974,1/20/74,-0.982019667,0.896118798,0.993887868,1,CFS_hindcast
1,1974,1/27/74,-1.177664977,0.926679506,1,1,CFS_hindcast
2,1974,2/3/74,-1.428944406,0.981671486,1,1,CFS_hindcast
2,1974,2/10/74,-1.531495526,0.993890474,1,1,CFS_hindcast
2,1974,2/17/74,-1.674658783,0.996944271,1,1,CFS_hindcast
2,1974,2/24/74,-1.704059135,1,1,1,CFS_hindcast
3,1974,3/3/74,-1.711767991,1,1,1,CFS_hindcast
3,1974,3/10/74,-1.723552718,1,1,1,CFS_hindcast
3,1974,3/17/74,-1.737242746,1,1,1,CFS_hindcast
3,1974,3/24/74,-1.744917486,1,1,1,CFS_hindcast
3,1974,3/31/74,-1.745699413,1,1,1,CFS_hindcast
4,1974,4/7/74,-1.73554152,1,1,1,CFS_hindcast
4,1974,4/14/74,-1.707945845,1,1,1,CFS_hindcast
4,1974,4/21/74,-1.615687369,1,1,1,CFS_hindcast
4,1974,4/28/74,-1.40758272,0.990864958,1,1,CFS_hindcast
5,1974,5/5/74,-1.137169014,0.896435116,1,1,CFS_hindcast
5,1974,5/12/74,-0.803536676,0.835525206,0.936046698,1,CFS_hindcast
5,1974,5/19/74,-0.55802769,0.729007594,0.890366671,0.996957025,CFS_hindcast
5,1974,5/26/74,-0.167465445,0.601137601,0.817340537,0.920818679,CFS_hindcast
6,1974,6/2/74,0.314016603,0.467070729,0.689438952,0.847745503,CFS_hindcast
6,1974,6/9/74,0.652456215,0.454875673,0.585946891,0.753369755,CFS_hindcast
6,1974,6/16/74,0.869206028,0.445694255,0.540255849,0.692509357,CFS_hindcast
6,1974,6/23/74,1.089662397,0.424363769,0.543306646,0.649954118,CFS_hindcast
6,1974,6/30/74,1.269254806,0.421347909,0.567668034,0.65912951,CFS_hindcast
7,1974,7/7/74,1.343579127,0.390868764,0.573762351,0.677371781,CFS_hindcast
7,1974,7/14/74,1.483265146,0.354294567,0.53722831,0.665185166,CFS_hindcast
7,1974,7/21/74,1.828624282,0.290295121,0.470203729,0.637774689,CFS_hindcast
7,1974,7/28/74,2.146473558,0.247537143,0.415388087,0.558595281,CFS_hindcast
8,1974,8/4/74,2.546848545,0.189498047,0.375718159,0.491599542,CFS_hindcast
8,1974,8/11/74,2.751483415,0.14673737,0.329937246,0.473286857,CFS_hindcast
8,1974,8/18/74,3.117539669,0.122288736,0.317690942,0.454977965,CFS_hindcast
8,1974,8/25/74,3.327450881,0.08865312,0.290159042,0.430549418,CFS_hindcast
9,1974,9/1/74,3.984092453,0.058085739,0.232158407,0.384803291,CFS_hindcast
9,1974,9/8/74,4.182126094,0.036692274,0.219939986,0.372599707,CFS_hindcast
9,1974,9/15/74,4.394757653,0.030581292,0.177190905,0.366461415,CFS_hindcast
9,1974,9/22/74,4.487579032,0.042798117,0.171099532,0.351154741,CFS_hindcast
9,1974,9/29/74,4.133492,0.042802162,0.171111103,0.381674525,CFS_hindcast
10,1974,10/6/74,3.924004589,0.030573754,0.1527814,0.375533818,CFS_hindcast
10,1974,10/13/74,3.636558433,0.027503271,0.140554247,0.369442981,CFS_hindcast
10,1974,10/20/74,3.437381753,0.027503271,0.140546816,0.335877456,CFS_hindcast
10,1974,10/27/74,3.335737492,0.021393877,0.119162817,0.305367847,CFS_hindcast
11,1974,11/3/74,3.042787393,0.024448969,0.122210847,0.299252916,CFS_hindcast
11,1974,11/10/74,2.793380676,0.015278529,0.103848672,0.262596003,CFS_hindcast
11,1974,11/17/74,2.481780117,0,0.048875251,0.277812563,CFS_hindcast
11,1974,11/24/74,1.681725538,0,0.122104665,0.72278063,CFS_hindcast
12,1974,12/1/74,0.67722709,0.051704226,0.798838874,1,CFS_hindcast
12,1974,12/8/74,0.040802762,0.444615086,1,1,CFS_hindcast
12,1974,12/15/74,-0.41749496,0.795455139,1,1,CFS_hindcast
12,1974,12/22/74,-0.845846954,0.963341936,1,1,CFS_hindcast
1,1975,1/4/75,-0.178828307,1,1,1,CFS_hindcast
1,1975,1/11/75,-1.380323569,1,1,1,CFS_hindcast
1,1975,1/18/75,-1.55732226,1,1,1,CFS_hindcast
1,1975,1/25/75,-1.652966624,1,1,1,CFS_hindcast
2,1975,2/1/75,-1.649745138,1,1,1,CFS_hindcast
2,1975,2/8/75,-1.608893301,1,1,1,CFS_hindcast
2,1975,2/15/75,-1.644339444,1,1,1,CFS_hindcast
2,1975,2/22/75,-1.748988648,1,1,1,CFS_hindcast
3,1975,3/1/75,-1.777229594,1,1,1,CFS_hindcast
3,1975,3/2/75,-1.77644268,1,1,1,CFS_hindcast
3,1975,3/9/75,-1.762698574,1,1,1,CFS_hindcast
3,1975,3/16/75,-1.764322907,1,1,1,CFS_hindcast
3,1975,3/23/75,-1.787706791,1,1,1,CFS_hindcast
3,1975,3/30/75,-1.785757916,1,1,1,CFS_hindcast
4,1975,4/6/75,-1.787100144,1,1,1,CFS_hindcast
4,1975,4/13/75,-1.787101269,1,1,1,CFS_hindcast
4,1975,4/20/75,-1.779895351,1,1,1,CFS_hindcast
4,1975,4/27/75,-1.782508684,1,1,1,CFS_hindcast
5,1975,5/4/75,-1.772638378,1,1,1,CFS_hindcast
5,1975,5/11/75,-1.721883464,1,1,1,CFS_hindcast
5,1975,5/18/75,-1.590573229,1,1,1,CFS_hindcast
5,1975,5/25/75,-1.358258732,1,1,1,CFS_hindcast
6,1975,6/1/75,-1.055305175,0.932993224,1,1,CFS_hindcast
6,1975,6/8/75,-0.756909338,0.835657059,0.963456353,1,CFS_hindcast
6,1975,6/15/75,-0.420647289,0.720059329,0.884319414,0.98782622,CFS_hindcast
6,1975,6/22/75,-0.132907103,0.628774868,0.787042912,0.929987356,CFS_hindcast
6,1975,6/29/75,0.340189157,0.522087651,0.720030561,0.84478262,CFS_hindcast
7,1975,7/6/75,0.699419686,0.464152517,0.65905554,0.78382715,CFS_hindcast
7,1975,7/13/75,1.125448429,0.406204131,0.582951878,0.716873337,CFS_hindcast
7,1975,7/20/75,1.171695908,0.397011167,0.589011383,0.732076982,CFS_hindcast
7,1975,7/27/75,1.148383039,0.390893609,0.619467238,0.777705256,CFS_hindcast
8,1975,8/3/75,1.10811127,0.39394011,0.622522367,0.789886485,CFS_hindcast
8,1975,8/10/75,1.122640671,0.36647304,0.607323153,0.783836928,CFS_hindcast
8,1975,8/17/75,1.318969631,0.317666155,0.573787781,0.756459164,CFS_hindcast
8,1975,8/24/75,1.453514539,0.320742507,0.543323229,0.729091127,CFS_hindcast
8,1975,8/31/75,1.543114124,0.320728069,0.552490574,0.6986978,CFS_hindcast
9,1975,9/7/75,1.652097255,0.30246971,0.512906537,0.674376236,CFS_hindcast
9,1975,9/14/75,2.249006252,0.201757094,0.406229703,0.515993218,CFS_hindcast
9,1975,9/21/75,2.482773658,0.201770726,0.378805234,0.509927338,CFS_hindcast
9,1975,9/28/75,2.692118299,0.201758678,0.372718573,0.479457675,CFS_hindcast
10,1975,10/5/75,2.780812743,0.162039002,0.342209038,0.467256681,CFS_hindcast
10,1975,10/12/75,2.959748456,0.131487074,0.293355958,0.421502218,CFS_hindcast
10,1975,10/19/75,2.663679178,0.131478587,0.299456419,0.458116046,CFS_hindcast
10,1975,10/26/75,2.554550026,0.061194244,0.21702145,0.418494697,CFS_hindcast
11,1975,11/2/75,2.159435502,0.021426737,0.189527717,0.430701486,CFS_hindcast
11,1975,11/9/75,1.603820596,0,0.250581745,0.637859949,CFS_hindcast
11,1975,11/16/75,0.950381236,0.070226727,0.497408454,0.969570484,CFS_hindcast
11,1975,11/23/75,0.781421536,0.103822033,0.616328218,1,CFS_hindcast
11,1975,11/30/75,0.385620183,0.302104464,0.875164048,1,CFS_hindcast
12,1975,12/7/75,-0.470373535,0.688993084,1,1,CFS_hindcast
12,1975,12/14/75,-0.731721155,0.887220992,1,1,CFS_hindcast
12,1975,12/21/75,-0.893334777,1,1,1,CFS_hindcast
12,1975,12/28/75,-1.048510877,1,1,1,CFS_hindcast
1,1976,1/4/76,-1.315841091,1,1,1,CFS_hindcast
1,1976,1/11/76,-1.641927492,1,1,1,CFS_hindcast
1,1976,1/18/76,-1.714318542,1,1,1,CFS_hindcast
1,1976,1/25/76,-1.747012912,1,1,1,CFS_hindcast
2,1976,2/1/76,-1.750588988,1,1,1,CFS_hindcast
2,1976,2/8/76,-1.753107593,1,1,1,CFS_hindcast
2,1976,2/15/76,-1.758759137,1,1,1,CFS_hindcast
2,1976,2/22/76,-1.783097369,1,1,1,CFS_hindcast
2,1976,2/29/76,-1.789092828,1,1,1,CFS_hindcast
3,1976,3/7/76,-1.782546985,1,1,1,CFS_hindcast
3,1976,3/14/76,-1.792054575,1,1,1,CFS_hindcast
3,1976,3/21/76,-1.804728166,1,1,1,CFS_hindcast
3,1976,3/28/76,-1.809395245,1,1,1,CFS_hindcast
4,1976,4/4/76,-1.807756224,1,1,1,CFS_hindcast
4,1976,4/11/76,-1.806253074,1,1,1,CFS_hindcast
4,1976,4/18/76,-1.806164735,1,1,1,CFS_hindcast
4,1976,4/25/76,-1.812015981,1,1,1,CFS_hindcast
5,1976,5/2/76,-1.795647122,1,1,1,CFS_hindcast
5,1976,5/9/76,-1.727515337,1,1,1,CFS_hindcast
5,1976,5/16/76,-1.597872298,1,1,1,CFS_hindcast
5,1976,5/23/76,-1.438450106,0.996952473,1,1,CFS_hindcast
5,1976,5/30/76,-1.275572606,0.990869557,1,1,CFS_hindcast
6,1976,6/6/76,-1.057223506,0.981740248,1,1,CFS_hindcast
6,1976,6/13/76,-0.778786596,0.954342112,0.996957025,1,CFS_hindcast
6,1976,6/20/76,-0.577705182,0.908662347,0.990864194,1,CFS_hindcast
6,1976,6/27/76,-0.337906561,0.774747483,0.975645725,1,CFS_hindcast
7,1976,7/4/76,-0.047510724,0.549345954,0.933041781,0.987815868,CFS_hindcast
7,1976,7/11/76,0.171819525,0.375528653,0.866164951,0.97868878,CFS_hindcast
7,1976,7/18/76,0.297527471,0.393865933,0.780993457,0.954366137,CFS_hindcast
7,1976,7/25/76,0.496817806,0.3786045,0.683549951,0.893533175,CFS_hindcast
8,1976,8/1/76,0.822658127,0.384712154,0.646990204,0.790068853,CFS_hindcast
8,1976,8/8/76,0.894406032,0.403055254,0.613468769,0.756615843,CFS_hindcast
8,1976,8/15/76,0.885025985,0.424444882,0.622622516,0.768800317,CFS_hindcast
8,1976,8/22/76,0.859383299,0.44580133,0.643950523,0.768788074,CFS_hindcast
8,1976,8/29/76,0.989145889,0.439686721,0.634819721,0.753574301,CFS_hindcast
9,1976,9/5/76,1.464546362,0.369544248,0.579966707,0.680484251,CFS_hindcast
9,1976,9/12/76,1.579373365,0.339033108,0.564746208,0.671356674,CFS_hindcast
9,1976,9/19/76,1.474582522,0.387849282,0.60738671,0.680459145,CFS_hindcast
9,1976,9/26/76,1.422611598,0.427528822,0.619573035,0.686551912,CFS_hindcast
10,1976,10/3/76,1.484775325,0.415338732,0.573865272,0.65303529,CFS_hindcast
10,1976,10/10/76,1.652499367,0.40008763,0.543364026,0.631686639,CFS_hindcast
10,1976,10/17/76,1.77979901,0.381779167,0.518960882,0.604223914,CFS_hindcast
10,1976,10/24/76,1.901625357,0.332949654,0.467078353,0.534140908,CFS_hindcast
10,1976,10/31/76,1.514735131,0.241331515,0.412248664,0.525046129,CFS_hindcast
