Row,intercept,Row,phPar,trialp[1],trialp[2],trialp[3],logSigmaT,logSigma
117,2.38253058,117,-0.04072473,-0.729451506,-0.058525049,-0.527677737,-0.610559819,-1.601460842
118,1.154145776,118,-0.018628154,-1.119962479,-0.584214563,-0.888017014,0.008359179,-1.633447579
119,2.917300593,119,-0.038242636,-1.414623657,-0.826326514,-1.191663088,0.126121945,-1.492613146
120,0.54678632,120,-0.009602256,-1.315294423,-0.613477056,-1.046826926,-0.143767521,-1.592917604
121,1.691967749,121,-0.028537412,-0.979627342,-0.22841285,-0.634709583,-0.251965884,-1.416471294
122,0.375710368,122,-0.016239266,-0.578922261,0.099251226,-0.226688708,-1.03716909,-1.645256813
123,-0.379123022,123,-0.013013074,-0.03622578,0.480367195,0.096261896,-1.500371854,-1.451192328
124,1.666974722,124,-0.037586093,-0.17931098,0.34338547,0.138284911,-0.72746504,-1.674342328
125,-0.018009997,125,-0.019489981,0.020279039,0.716079251,0.242456705,-1.015760553,-1.535912546
126,0.741844707,126,-0.027412885,-0.102890038,0.456743962,0.202247011,-0.346369447,-1.627216593
127,0.51937352,127,-0.024307642,-0.115229307,0.573877826,0.10349706,-0.569310979,-1.515320309
128,-0.422798314,128,-0.012602365,-0.056693799,0.51241327,0.253359052,-0.942038708,-1.643492532
129,-1.006492351,129,-0.003535554,-0.233829509,0.430466938,0.14461933,-0.404952079,-1.496670829
130,-0.922589488,130,-0.006245699,-0.084537622,0.577060561,0.238298449,-1.297027931,-1.491485331
131,0.616723891,131,-0.018765065,-0.656980457,0.004234963,-0.368586006,-0.956020962,-1.763639834
132,0.550618272,132,-0.0256615,-0.041246414,0.579587208,0.238107008,-1.385724606,-1.588468651
133,0.635974044,133,-0.0270198,0.001464766,0.57741122,0.220636231,-1.398250788,-1.59437508
134,0.713938361,134,-0.023385137,-0.287836413,0.247125574,-0.139208057,-1.980046237,-1.596792247
135,0.546241445,135,-0.022442125,-0.313557588,0.315210637,0.030983379,-0.579136516,-1.775303521
136,0.486943507,136,-0.020540141,-0.383282191,0.263331484,-0.150297687,-0.506527438,-1.678578709
137,-0.067840692,137,-0.011393938,-0.498849997,0.115498922,-0.305470744,-1.084181997,-1.685645773
138,1.46044355,138,-0.032634416,-0.395133942,0.215837624,-0.209494104,-0.786559681,-1.483025804
139,1.469670223,139,-0.035007996,-0.282500026,0.328988901,0.051336994,-1.577176581,-1.51374537
140,-0.13058246,140,-0.014166114,-0.221040368,0.327345309,0.120559227,-1.037003057,-1.483380312
141,0.148602985,141,-0.017122412,-0.296222673,0.375224728,-0.008547038,-0.855636723,-1.507171866
142,1.169889305,142,-0.031170913,-0.21018622,0.333530463,0.026464906,-1.795195915,-1.618107521
143,0.4355767,143,-0.019318844,-0.320964508,0.203870203,-0.146344903,-1.016445214,-1.363288256
144,0.09893243,144,-0.021003501,-0.037904215,0.732796112,0.313106349,-0.655623883,-1.629729767
145,-1.608692116,145,-0.00511946,0.504676186,1.119958488,0.922030129,-0.329033077,-1.37242979
146,-1.180286217,146,-0.002498776,-0.085818137,0.527641598,0.287170117,0.246401948,-1.427384475
147,-1.690750217,147,0.001689546,0.065649176,0.700713154,0.452551557,-0.605879012,-1.3901184
148,2.002953397,148,-0.037469574,-0.605525199,-0.007171733,-0.264794327,-1.120185021,-1.707495803
149,-2.540705255,149,0.015605094,-0.060521649,0.433727157,0.167490297,-1.417308959,-1.315210202
150,-2.869358145,150,0.021285307,-0.233748392,0.496116721,0.127965276,-0.055313317,-1.29068549
151,-2.292433938,151,0.011707192,-0.017518067,0.528471697,0.139466913,-0.60122911,-1.372278724
152,-0.371045261,152,-0.014700095,-0.042360262,0.65526994,0.321818258,-0.887978205,-1.526193649
153,-0.71510173,153,-0.01195459,0.190884955,0.838061522,0.409364306,-0.433436291,-1.448039344
154,0.213537941,154,-0.022409045,0.024989656,0.633002263,0.305521049,-0.024191685,-1.471521168
155,-0.730012514,155,-0.004804369,-0.45193046,0.329384082,-0.108073978,-1.576459793,-1.542457137
156,1.168201815,156,-0.031117328,-0.294687912,0.455412682,0.042450929,-1.814325271,-1.538496539
157,1.936001616,157,-0.041215574,-0.287378096,0.435868025,0.003201927,-0.981463973,-1.519491901
158,1.765043238,158,-0.038257235,-0.311242007,0.232005039,0.103295379,-1.196439382,-1.500355339
159,1.816380348,159,-0.038534789,-0.322155204,0.225878994,0.112175841,-1.194632738,-1.500956896
160,1.383321615,160,-0.032868068,-0.26691464,0.342888078,-0.212702128,-1.792654439,-1.391982452
161,1.615635963,161,-0.035870174,-0.293428653,0.24834083,0.013436018,-1.467760444,-1.385613143
162,1.596743211,162,-0.03593995,-0.297197424,0.237148974,0.026572512,-1.519503889,-1.383477027
163,-0.07521816,163,-0.009756042,-0.582246033,0.029401577,-0.393584454,-0.518300324,-1.520601684
164,1.111135669,164,-0.030465905,-0.167337762,0.358514476,-0.003478596,-1.766281347,-1.48197504
165,1.069513332,165,-0.030103781,-0.177879155,0.323072568,0.103024332,-1.857418351,-1.48234498
166,2.261534196,166,-0.042394586,-0.44663019,0.156901795,-0.069893657,-1.281345535,-1.594236019
167,-0.362661894,167,-0.006945726,-0.534108348,0.153290762,-0.344587126,-0.897660813,-1.659371152
168,0.240228242,168,-0.013707584,-0.610662661,-0.071505395,-0.335285454,-0.412052442,-1.618410369
169,0.514328179,169,-0.017225974,-0.680013616,-0.047617433,-0.422267011,-0.55485459,-1.634641054
170,0.498193663,170,-0.020090578,-0.471461608,0.232289134,-0.193108178,-1.436111793,-1.544127132
171,0.635228941,171,-0.021845407,-0.368363777,0.073974372,-0.143822065,-1.856889951,-1.716253756
172,0.505971425,172,-0.024229783,-0.147265223,0.603883198,0.124949343,-0.889621714,-1.677158076
173,-0.977321479,173,-0.016258873,0.776300569,1.287108123,1.049596584,0.545994753,-1.41452214
174,-0.60967009,174,-0.020111899,0.633983614,1.371849631,0.894153505,0.205224781,-1.455932731
175,0.401603372,175,-0.02951759,0.456633209,0.94869445,0.637699345,-0.553220528,-1.677898347
176,1.578887205,176,-0.042940694,0.329015757,0.896404032,0.531179969,-0.653282731,-1.436290554
177,0.573638765,177,-0.03096113,0.459646908,0.996605015,0.583589517,-0.117496053,-1.598796581
178,0.619507435,178,-0.032409431,0.490940801,0.997303795,0.614012233,-0.136348477,-1.612659543
179,-0.643279706,179,-0.013135759,0.229465277,0.799813793,0.509005462,-0.008487068,-1.404987884
180,0.778681909,180,-0.028295134,-0.044797396,0.536520927,0.21464745,-0.859906591,-1.800227713
181,0.439774696,181,-0.017632893,-0.479131821,0.101154577,-0.296403075,-1.293437884,-1.654654277
182,0.325582413,182,-0.021149352,-0.150855347,0.441077135,0.088025695,-1.489313812,-1.637191314
183,-0.766828204,183,-0.005188755,-0.354477581,0.356519697,-0.051678921,-1.21078322,-1.670734913
184,-0.724793868,184,-0.005957311,-0.28091918,0.259258383,0.004656993,-1.094732088,-1.689405591
185,-0.513097432,185,-0.008513218,-0.283787734,0.4245217,-0.081417621,-1.031904046,-1.672491122
186,-0.162069201,186,-0.010778576,-0.430062977,0.193720258,-0.231052639,-1.638594914,-1.493492844
187,-0.499184259,187,-0.011112543,-0.118398342,0.561690679,0.104392578,-0.876642946,-1.61136895
188,-1.140271178,188,0.000140856,-0.287052046,0.281044009,-0.075794867,-1.092797689,-1.493479356
189,-1.367227006,189,0.001398255,-0.201223704,0.430084428,0.071209406,-1.177256565,-1.530484677
190,-0.876502154,190,-0.003534383,-0.224687952,0.277067864,-0.04702548,-1.609278153,-1.481411221
191,-0.763703433,191,-0.005149267,-0.285681463,0.274146601,-0.029871977,-1.771249167,-1.407951614
192,1.255553428,192,-0.031812241,-0.246177413,0.414767186,0.050330325,-1.142845619,-1.599904315
193,-0.228154004,193,-0.011779291,-0.275247936,0.346499689,-0.019328801,-0.820313965,-1.503550066
194,0.288495283,194,-0.017481448,-0.36801913,0.101093703,-0.201957185,-1.448386097,-1.666180855
195,-0.046725004,195,-0.014031007,-0.480564519,0.28449943,-0.093803046,-1.424921018,-1.526056169
196,0.092601802,196,-0.016227044,-0.424933914,0.293338933,-0.074796994,-1.299650588,-1.546093182
197,0.723454806,197,-0.025386966,-0.275543328,0.246361898,0.038204024,-2.081801404,-1.511594555
198,0.642585556,198,-0.024541419,-0.197079091,0.305888266,-0.060058081,-1.629083206,-1.585562817
199,0.867390332,199,-0.026748189,-0.297259424,0.348627371,0.053282613,-1.745906341,-1.632834903
200,0.721822925,200,-0.024764862,-0.167793788,0.357105278,-0.026006369,-1.622738264,-1.628365376
201,1.085596742,201,-0.027998731,-0.356808927,0.186294891,-0.218416361,-1.021164762,-1.463981094
202,1.220540038,202,-0.029176074,-0.485402432,0.213155287,-0.120471825,-0.88090721,-1.450471238
203,1.680948438,203,-0.031073647,-0.691711343,-0.106927942,-0.519729248,-0.818861261,-1.727343234
204,1.67298268,204,-0.031058785,-0.668522296,-0.113678667,-0.556753757,-0.840645769,-1.736251101
205,1.598047947,205,-0.029839453,-0.848639336,-0.149568349,-0.434239839,-0.775227047,-1.679529203
206,0.766006355,206,-0.029280383,-0.083793969,0.614438528,0.231547709,-1.091411608,-1.435527349
207,0.457658529,207,-0.018719737,-0.543996877,0.158218688,-0.247181195,-0.942438891,-1.605346586
208,-0.628190766,208,-0.00800944,-0.226143242,0.449310802,0.118769657,-1.173965101,-1.701982051
209,-0.919199431,209,-0.00338336,-0.257465944,0.387897855,0.006239806,-1.69794742,-1.495637474
210,-1.456802721,210,0.002465542,-0.111779651,0.355936222,0.105421306,-1.908993568,-1.533518108
211,-1.240841445,211,-0.001237596,-0.137915737,0.476633303,0.137440804,-1.620472673,-1.583987817
212,0.143196368,212,-0.017075364,-0.257471667,0.395277808,-0.026208451,-0.694752058,-1.50611138
213,1.392056108,213,-0.035862137,-0.105597276,0.602054022,0.110204647,-1.251473372,-1.681583291
214,-0.126106499,214,-0.010835696,-0.414147783,0.10056659,-0.268543137,-1.122316019,-1.505381912
215,-0.002851168,215,-0.012107114,-0.554701106,0.226139343,-0.332908847,0.226584814,-1.338808229
216,-0.359801879,216,-0.006346828,-0.526740419,0.021710821,-0.394267377,0.359369682,-1.438126461
217,1.377595489,217,-0.038201,0.243300348,0.687241134,0.306627446,-0.807067044,-1.473787004
218,-0.902036399,218,-0.018919616,0.940535229,1.476256984,1.258975563,0.549195793,-1.365861916
219,-0.579314526,219,-0.022864291,0.715621248,1.614642211,1.09901777,0.832148924,-1.457336202
220,-0.621733419,220,-0.021749941,0.928765079,1.291416396,1.066683298,0.118651019,-1.44245488
221,-1.049288725,221,-0.016781775,0.714617361,1.575918906,1.110074396,-0.159976718,-1.34278139
222,-1.121829161,222,-0.015245165,0.666426548,1.501092217,1.1358323,-0.198954748,-1.352219772
223,-0.652039615,223,-0.018684225,0.685797067,1.213990267,0.783653128,-0.127028715,-1.290886441
224,-0.051220368,224,-0.029072115,0.777042505,1.411898304,0.994629899,0.919025942,-1.411996546
225,-2.536992275,225,-0.002090574,1.254767753,1.899932587,1.457286328,0.767978118,-1.614986437
226,-2.538504206,226,-0.002595195,1.25655615,1.918413,1.48531858,0.764659424,-1.614901662
227,-2.591785029,227,-0.001063997,1.218924759,1.833219452,1.519399959,0.316210946,-1.551800288
228,-2.602699817,228,-0.002558845,1.34986288,1.941509545,1.657228679,0.412040094,-1.605440759
229,-2.56391332,229,-0.003533031,1.423677699,2.031570715,1.63399899,0.550053785,-1.605558159
230,-2.853438605,230,0.000274588,1.370581819,2.011279022,1.663754022,0.425050182,-1.632075163
231,-2.315688137,231,-0.009128601,1.590526609,2.169292136,1.838232145,0.623944554,-1.687484893
232,-2.314446011,232,-0.008222728,1.630650513,2.178078123,1.771443146,1.485839519,-1.5467493
233,-0.98299141,233,-0.030466511,1.795703514,2.50888326,2.050234228,1.065562451,-1.556804086
234,-1.256783268,234,-0.024615083,1.753674206,2.293308076,2.046412572,0.65462069,-1.427488303
235,-1.017355972,235,-0.017594381,0.875366135,1.597926786,1.125907232,0.032279504,-1.668076495
236,-0.891029895,236,-0.020191813,0.995530039,1.552928731,1.256412073,0.229222064,-1.784576311
237,-0.957092222,237,-0.017767692,0.822430919,1.529206073,1.12115798,0.21978275,-1.792696499
238,-0.681020819,238,-0.02498194,1.179803899,1.772751986,1.393503605,0.651576668,-1.565708629
239,-1.077391289,239,-0.021940313,1.273844439,1.924873446,1.526357619,0.071673244,-1.647594075
240,-1.080554879,240,-0.022660722,1.383170616,2.056650542,1.581340528,0.132586792,-1.703266357
241,-1.581922408,241,-0.014209337,1.215291467,1.941135696,1.510474663,0.485067667,-1.529731388
242,0.393665473,242,-0.023212817,0.028504659,0.510541577,0.230365811,-0.221905745,-1.614312389
243,1.114893898,243,-0.028618669,-0.384140594,0.253856778,-0.118195339,-0.328850619,-1.394706359
244,1.051742499,244,-0.027996568,-0.322899898,0.275020241,-0.104042603,-0.624964669,-1.40430427
245,0.926638531,245,-0.027779468,-0.22931062,0.346220153,0.244800199,-1.417310354,-1.248043356
246,0.782514011,246,-0.027528852,-0.208055701,0.383144793,0.17544295,-1.463663123,-1.250730923
247,1.15114242,247,-0.029725084,-0.245355998,0.278777967,-0.180807885,-1.61695009,-1.283580856
248,-0.430194085,248,-0.010994345,-0.228221028,0.398926643,0.072869114,-1.197679576,-1.658433423
249,-0.609921292,249,-0.008226552,-0.217844797,0.308159412,0.161024117,-1.318661293,-1.652099043
250,-0.536197044,250,-0.008831882,-0.25338491,0.312175856,0.124207678,-1.283993806,-1.652612418
251,0.084909795,251,-0.018221571,-0.12285223,0.375327443,0.271425787,-1.310109995,-1.443527982
252,-0.315565752,252,-0.01167633,-0.189668545,0.513955218,-0.06011534,-1.135867216,-1.58800245
253,-0.216033903,253,-0.011754712,-0.327950828,0.171918853,0.038461997,-1.296056137,-1.449787986
254,-0.295546823,254,-0.011094433,-0.289686441,0.232370521,0.008875416,-1.355477857,-1.442354034
255,0.752654567,255,-0.023709282,-0.271864768,0.244615578,-0.160387756,-1.760968031,-1.568101618
256,-0.291565729,256,-0.013053245,-0.11037662,0.486142289,0.028648142,-0.671551115,-1.541166311
257,-0.279765036,257,-0.013202003,-0.084277254,0.467467061,0.039742487,-0.643154236,-1.533645862
258,-0.266359696,258,-0.01496417,-0.178030299,0.463638819,0.189292558,-0.792153178,-1.511955466
259,-0.107661712,259,-0.015000754,-0.195624956,0.440416073,0.185756202,-1.008412373,-1.540450224
260,-0.235044837,260,-0.014140889,-0.13147927,0.450678795,8.98E-06,-1.545588753,-1.54554627
261,-0.192684155,261,-0.010592686,-0.3422531,0.241701133,-0.17640069,-1.772788474,-1.644874638
262,0.516466166,262,-0.022974494,-0.175076134,0.356128458,-0.070543201,-1.484601038,-1.413852322
263,1.371401507,263,-0.032899984,-0.294616929,0.346047227,-0.179406314,-1.559165324,-1.447327128
264,0.984321634,264,-0.023722342,-0.555170394,0.127019037,-0.419489553,-0.836086589,-1.487114974
265,0.453052056,265,-0.019909925,-0.389734813,0.219365534,-0.063733046,-0.614309432,-1.719972705
266,0.783570057,266,-0.026897612,-0.132868224,0.333897374,0.1610337,-1.412789776,-1.303527874
267,1.89537424,267,-0.037576347,-0.509455137,0.230044158,-0.287451632,-0.686513297,-1.444997339
268,-0.579320287,268,-0.00761226,-0.21719498,0.240780475,0.030555456,-1.732923575,-1.512057571
269,-0.683481199,269,-0.007970458,-0.170100531,0.361122163,0.046591693,-2.168227062,-1.467023426
270,-0.35785672,270,-0.007977791,-0.414251414,0.183614222,-0.140683143,-0.979745224,-1.600990097
271,0.287586327,271,-0.019005579,-0.252178708,0.298532881,0.036877257,-1.904730828,-1.607507693
272,0.261693187,272,-0.016505894,-0.472747696,0.148166262,-0.092903295,-1.16108181,-1.631092321
273,1.139834041,273,-0.030940442,-0.213534443,0.43617072,0.131567449,-0.551804911,-1.577624779
274,-0.462776607,274,-0.015014863,0.152105077,0.686419924,0.354895197,0.45741718,-1.347462653
