"","Year","HM_Fmsyr","AM_Fmsyr","GM_Biom","Catch_Assump","ABC_HM","OFL_AM","Bmsy","SSB","Adjust","CV_Biom","CV_SSB","ABC_T3","OFL_T3","peel"
"38",2025,0.115917,0.125205,3602.87,125,417.635,451.099,563.791,1154.38,1,0.147373,0.129907,230.635,266.773,-3
"39",2026,0.115917,0.125205,3827.9,125,443.721,479.274,563.791,1194.87,1,0.154848,0.148043,243.509,281.747,-3
"40",2027,0.115917,0.125205,4118.91,125,477.454,515.71,563.791,1263.34,1,0.161816,0.162916,261.899,304.585,-3
"41",2017,0.11818,0.128445,2573.3,125,304.112,330.527,532.411,1005.89,1,0.0604588,0.0648568,189.494,248.655,-4
"42",2018,0.11818,0.128445,2515.78,125,297.314,323.139,532.411,1012.54,1,0.0650815,0.0671051,182.638,232.444,-4
"43",2019,0.11818,0.128445,2406.01,125,284.341,309.04,532.411,1005.27,1,0.0726434,0.0706726,174.118,215.462,-4
"44",2020,0.11818,0.128445,2293.32,125,271.024,294.566,532.411,974.98,1,0.084174,0.0755977,163.548,197.233,-4
"45",2021,0.11818,0.128445,2258.54,125,266.913,290.098,532.411,929.784,1,0.102089,0.0818956,153.141,180.574,-4
"46",2022,0.11818,0.128445,2362.86,125,279.242,303.497,532.411,886.296,1,0.125381,0.0911856,144.407,167.586,-4
"47",2023,0.11818,0.128445,2537.12,125,299.836,325.88,532.411,856.654,1,0.144835,0.106698,141.855,163.517,-4
"48",2024,0.11818,0.128445,2778.66,125,328.381,356.905,532.411,852.765,1,0.160445,0.128614,147.044,169.868,-4
"49",2025,0.11818,0.128445,3124.6,125,369.263,401.338,532.411,889.663,1,0.173489,0.151922,158.807,185.009,-4
"50",2026,0.11818,0.128445,3508.53,125,414.637,450.653,532.411,972.381,1,0.18312,0.172264,177.174,208.715,-4
"51",2016,0.127099,0.137681,2423.95,125,308.082,333.732,492.909,907.717,1,0.0618493,0.0669831,159.17,208.978,-5
"52",2017,0.127099,0.137681,2360.86,125,300.063,325.046,492.909,911.274,1,0.066029,0.0689477,156.363,199.478,-5
"53",2018,0.127099,0.137681,2304.35,125,292.881,317.265,492.909,914.732,1,0.0727915,0.0718882,152.845,190.167,-5
"54",2019,0.127099,0.137681,2261.54,125,287.44,311.371,492.909,913.228,1,0.085116,0.0761679,149.919,182.51,-5
"55",2020,0.127099,0.137681,2226.4,125,282.974,306.534,492.909,897.147,1,0.103097,0.0820526,145.192,173.43,-5
"56",2021,0.127099,0.137681,2297.62,125,292.026,316.339,492.909,868.152,1,0.123434,0.0902756,139.907,164.273,-5
"57",2022,0.127099,0.137681,2490.96,125,316.599,342.958,492.909,844.973,1,0.142447,0.1042,135.753,157.576,-5
"58",2023,0.127099,0.137681,2767.18,125,351.707,380.989,492.909,843.747,1,0.15729,0.125037,136.346,157.705,-5
"59",2024,0.127099,0.137681,3091.65,125,392.947,425.663,492.909,875.392,1,0.168121,0.148212,141.978,164.835,-5
"60",2025,0.127099,0.137681,3448.94,125,438.357,474.854,492.909,956.991,1,0.175502,0.167591,154.639,181.317,-5
"61",2015,0.11893,0.12936,2445.33,125,290.824,316.327,486.137,876.934,1,0.0653317,0.0702418,169.389,222.271,-6
"62",2016,0.11893,0.12936,2413.38,125,287.023,312.193,486.137,881.938,1,0.0706226,0.0726033,166.3,211.784,-6
"63",2017,0.11893,0.12936,2352.89,125,279.829,304.369,486.137,889.147,1,0.0773813,0.0758483,163.818,203.319,-6
"64",2018,0.11893,0.12936,2308.82,125,274.588,298.668,486.137,895.94,1,0.088285,0.0803975,160.971,195.361,-6
"65",2019,0.11893,0.12936,2273.92,125,270.438,294.154,486.137,896.287,1,0.104562,0.0866868,156.425,186.184,-6
"66",2020,0.11893,0.12936,2349.9,125,279.475,303.983,486.137,888.1,1,0.123186,0.0951513,151.961,177.91,-6
"67",2021,0.11893,0.12936,2541.82,125,302.299,328.809,486.137,868.363,1,0.140456,0.106241,146.923,169.819,-6
"68",2022,0.11893,0.12936,2792.57,125,332.122,361.246,486.137,857.585,1,0.154915,0.121996,147.538,169.845,-6
"69",2023,0.11893,0.12936,3085.1,125,366.912,399.088,486.137,875.476,1,0.16564,0.142425,155.413,179.839,-6
"70",2024,0.11893,0.12936,3395.13,125,403.784,439.193,486.137,937.741,1,0.173397,0.162156,170.14,198.926,-6
"71",2014,0.117372,0.127202,2446.36,125,287.134,311.182,464.074,825.73,1,0.0681887,0.0725361,163.696,214.693,-7
"72",2015,0.117372,0.127202,2502.55,125,293.729,318.33,464.074,841.879,1,0.0751831,0.0752527,161.83,205.832,-7
"73",2016,0.117372,0.127202,2496.11,125,292.973,317.51,464.074,855.159,1,0.0841498,0.0785899,162.369,201.342,-7
"74",2017,0.117372,0.127202,2488.76,125,292.111,316.576,464.074,877.473,1,0.0966748,0.0831567,163.784,198.988,-7
"75",2018,0.117372,0.127202,2475.05,125,290.501,314.831,464.074,902.947,1,0.112189,0.0897369,164.255,196.21,-7
"76",2019,0.117372,0.127202,2589.09,125,303.887,329.338,464.074,921.517,1,0.129117,0.0991525,163.795,192.627,-7
"77",2020,0.117372,0.127202,2785.9,125,326.987,354.373,464.074,928.104,1,0.142711,0.111642,160.386,186.105,-7
"78",2021,0.117372,0.127202,3042.02,125,357.047,386.951,464.074,937.577,1,0.15427,0.12734,159.871,184.238,-7
"79",2022,0.117372,0.127202,3328.87,125,390.716,423.44,464.074,970.672,1,0.162815,0.1438,166.659,192.326,-7
"80",2023,0.117372,0.127202,3619.42,125,424.818,460.397,464.074,1037.53,1,0.169034,0.15957,181.972,211.782,-7
"81",2013,0.116092,0.125916,2417.26,125,280.625,304.371,451.828,787.174,1,0.069884,0.0733876,165.616,217.316,-8
"82",2014,0.116092,0.125916,2576.11,125,299.067,324.373,451.828,813.292,1,0.0795412,0.0761422,165.591,210.954,-8
"83",2015,0.116092,0.125916,2693.97,125,312.749,339.214,451.828,842.538,1,0.0930147,0.0796841,167.51,208.222,-8
"84",2016,0.116092,0.125916,2745.05,125,318.68,345.646,451.828,873.538,1,0.10639,0.0843902,172.862,210.857,-8
"85",2017,0.116092,0.125916,2774.73,125,322.125,349.383,451.828,920.955,1,0.121551,0.0913488,179.987,216.307,-8
"86",2018,0.116092,0.125916,2923.74,125,339.424,368.146,451.828,977.365,1,0.134968,0.101937,184.797,219.269,-8
"87",2019,0.116092,0.125916,3109.9,125,361.035,391.586,451.828,1031.48,1,0.144437,0.116234,186.965,219.378,-8
"88",2020,0.116092,0.125916,3345.72,125,388.413,421.28,451.828,1075.87,1,0.152869,0.132329,190.727,222.044,-8
"89",2021,0.116092,0.125916,3594.25,125,417.265,452.573,451.828,1122.12,1,0.160362,0.147208,198.799,231.041,-8
"90",2022,0.116092,0.125916,3840.27,125,445.826,483.551,451.828,1192.18,1,0.165657,0.158294,212.385,247.702,-8
"91",2012,0.119261,0.128723,2407.17,125,287.082,309.858,440.059,781.293,1,0.0719423,0.0742147,168.883,221.573,-9
"92",2013,0.119261,0.128723,2527.3,125,301.41,325.322,440.059,796.396,1,0.0808524,0.0774964,171.424,218.313,-9
"93",2014,0.119261,0.128723,2519.37,125,300.464,324.301,440.059,831.703,1,0.0904064,0.0816649,173.163,214.994,-9
"94",2015,0.119261,0.128723,2528.19,125,301.515,325.436,440.059,863.926,1,0.101702,0.0871494,177.086,215.34,-9
"95",2016,0.119261,0.128723,2543.54,125,303.346,327.412,440.059,898.126,1,0.116202,0.09468,179.756,214.901,-9
"96",2017,0.119261,0.128723,2661.35,125,317.396,342.577,440.059,930.291,1,0.130831,0.104665,179.021,210.679,-9
"97",2018,0.119261,0.128723,2844.01,125,339.181,366.09,440.059,953.896,1,0.143395,0.117219,176.243,204.871,-9
"98",2019,0.119261,0.128723,3056.41,125,364.512,393.431,440.059,973.251,1,0.154198,0.131145,178.607,206.3,-9
"99",2020,0.119261,0.128723,3296.75,125,393.176,424.368,440.059,1000.99,1,0.162514,0.145767,187.016,216.637,-9
"100",2021,0.119261,0.128723,3563.65,125,425.006,458.724,440.059,1064.66,1,0.169094,0.1591,203.233,237.203,-9
"101",2011,0.122242,0.133215,2173.19,125,265.655,289.502,433.537,777.248,1,0.071213,0.0740184,173.729,227.831,-10
"102",2012,0.122242,0.133215,2257.99,125,276.02,300.797,433.537,756.793,1,0.0815265,0.0779624,173.082,220.106,-10
"103",2013,0.122242,0.133215,2292.59,125,280.25,305.407,433.537,765.482,1,0.0945188,0.0827847,173.707,215.189,-10
"104",2014,0.122242,0.133215,2321.91,125,283.835,309.314,433.537,800.151,1,0.107569,0.089053,175.098,212.425,-10
"105",2015,0.122242,0.133215,2322,125,283.845,309.325,433.537,820.321,1,0.122301,0.0971654,178.039,212.415,-10
"106",2016,0.122242,0.133215,2451.89,125,299.724,326.629,433.537,847.31,1,0.136814,0.108589,177.955,209.227,-10
"107",2017,0.122242,0.133215,2636.31,125,322.267,351.196,433.537,878.649,1,0.147858,0.123919,177.282,206.148,-10
"108",2018,0.122242,0.133215,2847.8,125,348.12,379.369,433.537,907.977,1,0.158,0.140989,184.68,213.972,-10
"109",2019,0.122242,0.133215,3087.15,125,377.379,411.255,433.537,957.613,1,0.166363,0.156054,197.843,230.119,-10
"110",2020,0.122242,0.133215,3292.74,125,402.51,438.642,433.537,996.871,1,0.174084,0.170297,216.774,253.602,-10
